Component name	Menu X	Menu Y	Hotkey	Colored	Grayed	Semantic name	Description
CircuitFlipHorizontal	-1	-1	Up	no	no	Flip Horizontal	"Flips the current selection horizontally.||You cannot modify chips that are part of the puzzle, but you can copy (C) or paste (V) them."
CircuitFlipVertical	-1	-1	Down	no	no	Flip Vertical	"Flips the current selection vertically.||You cannot modify chips that are part of the puzzle, but you can copy (C) or paste (V) them."
CircuitCopy	-1	-1	!	no	no	Copy Selection	Copies all selected components.  Use shift to select multiple components.  You have an unlimited supply of all available components.
CircuitCut	-1	-1	!	no	no	Cut Selection	Copies all selected components then deletes them.  Use shift to select multiple components.  You have an unlimited supply of all available components.
CircuitPaste	-1	-1	!	no	no	Paste Components	Pastes all copied components.  Use shift to select multiple components.  You have an unlimited supply of all available components.
GateClosedGrayProxy	0	2	N	no	no	Gray Gate	"Gates don't allow charge to pass when closed, but behave like wires when open.  # gates are controlled by a # switch."
GateSwitchGrayProxy	1	2	M	no	no	Gray Button	Toggles the closest Gray gate.
TrapOpenGrayProxy	2	2	J	no	no	Gray Trap (Open)	"Behaves like a normal wire for the first charge that passes through it, then it will close. |Can be reset by a Gray crank."
TrapResetGrayProxy	3	2	K	no	no	Gray Crank	Resets the closest Gray trap.
MegaHoldGrayProxy	-1	-1	!	no	no	Rainbow Goal Battery	"Accumulates incoming charge of any color, but also peridoically loses charge.  Once all goals are filled correctly, you win!"
Preference0	-1	-1	!	no	no	Major Rejector	Charge favors moving towards a component that is more accepting of charge.  You can use shift+mouse wheel to cycle through different affinities.
Preference1	-1	-1	!	no	no	Minor Rejector	Charge favors moving towards a component that is more accepting of charge.  You can use shift+mouse wheel to cycle through different affinities.
Preference2	-1	-1	!	no	no	Neutral	Charge favors moving towards a component that is more accepting of charge.  You can use shift+mouse wheel to cycle through different affinities.
Preference3	-1	-1	!	no	no	Minor Acceptor	Charge favors moving towards a component that is more accepting of charge.  You can use shift+mouse wheel to cycle through different affinities.
Preference4	-1	-1	!	no	no	Major Acceptor	Charge favors moving towards a component that is more accepting of charge.  You can use shift+mouse wheel to cycle through different affinities.
Start	-1	-1	Enter	no	no	Start Puzzle	You cannot modify the puzzle once it has started.
Stop	-1	-1	Enter	no	no	Stop Puzzle	You cannot modify the puzzle once it has started.
speedPause	-1	-1	F1	no	no	Pause	Modifies the game speed.  Press space to temporarially increase game speed.
speedQuarter	-1	-1	F2	no	no	Quarter Speed	Modifies the game speed.  Press space to temporarially increase game speed.
speedX1	-1	-1	F3	no	no	Normal Speed	Modifies the game speed.  Press space to temporarially increase game speed.
speedX4	-1	-1	F4	no	no	Quad Speed	Modifies the game speed.  Press space to temporarially increase game speed.
speedX10	-1	-1	F5	no	no	10x Speed	Modifies the game speed.  Press space to temporarially increase game speed.
speedX20	-1	-1	F6	no	no	20x Speed	Modifies the game speed.  Press space to temporarially increase game speed.
Save	-1	-1	!	no	no	Save Puzzle	Saves the current puzzle.  Puzzle solutions and progress is automatically saved.
Load	-1	-1	!	no	no	Load Puzzle	Loads a previously saved puzzle.
Music	-1	-1	!	no	no	Toggle Music	Toggles game music.
SoundEffect	-1	-1	!	no	no	Toggle Sound	Toggles audio effects.
PrevLevel	-1	-1	LeftAlt	no	no	Previous Puzzle	 
NextLevel	-1	-1	RightAlt	no	no	Next Puzzle	 
ViewProvidedSolution	-1	-1	UpAlt	no	no	See Provided Solution	 
ViewYourProgress	-1	-1	DownAlt	no	no	Load Progress	 Your progress on each level is automatically saved.
ViewYourSolution	-1	-1	DownAlt	no	no	Load Your Solution	Loads your most recent solution.
ClearPuzzle	-1	-1	!	no	no	Clear Puzzle	Deletes all added components in the puzzle.
